catalog_watch_id,brand,reference,msrp_usd,source_url,note
bulova-96b251,Bulova,96B251,695,https://www.bulova.com/us/en/watch/lunar-pilot-mens-watch-96B251.html,Current Bulova.com MSRP for steel/black Lunar Pilot chronograph
bulova-98a186,Bulova,98A186,1250,https://www.bulova.com/us/en/watch/98A186.html,Meteorite dial Lunar Pilot (limited series)
bulova-96k111,Bulova,96K111,1495,https://www.bulova.com/us/en/watch/96K111.html,Lunar Pilot Apollo 15 Special Edition (LE)
timex-tw2t22800,Timex,TW2T22800,199,https://www.timex.com/marlin-34mm-stainless-steel-bracelet-watch/TW2T22800ZV.html,Marlin 34mm hand-wound on bracelet
timex-tw2v00500,Timex,TW2V00500,349,https://www.timex.com/marlin-sub-dial-chronograph-40mm-leather-strap-watch/TW2V00500.html,Marlin Sub-Dial Chronograph 40mm
timex-tw2u61500,Timex,TW2U61500,179,https://www.timex.com/q-timex-reissue-38mm-stainless-steel-bracelet-watch/TW2U61500ZV.html,Q Timex Reissue 38mm
timex-tw2v38000,Timex,TW2V38000,209,https://www.timex.com/q-timex-gmt-38mm-stainless-steel-bracelet-watch/TW2V38000.html,Q Timex GMT 38mm
timex-tw2v41600,Timex,TW2V41600,239,https://www.timex.com/expedition-north-field-mechanical-38mm-fabric-strap-watch/TW2V41600.html,Expedition North Field Mechanical 38mm
baltic-hms-002,Baltic,HMS-002,510,https://www.baltic-watches.com/en/52-hms,HMS 002 sector-dial hand-wound. €465 base ≈ $510 USD
baltic-aquascaphe-classic,Baltic,Aquascaphe-Classic,795,https://www.baltic-watches.com/en/56-aquascaphe,Aquascaphe Classic automatic diver. €725 base ≈ $795 USD
baltic-aquascaphe-gmt,Baltic,Aquascaphe-GMT,870,https://www.baltic-watches.com/en/56-aquascaphe,Aquascaphe GMT
baltic-aquascaphe-bronze,Baltic,Aquascaphe-Bronze,995,https://www.baltic-watches.com/en/56-aquascaphe,Aquascaphe Bronze
baltic-hermetique-tourer,Baltic,Hermetique-Tourer,870,https://www.baltic-watches.com/en/57-hermetique,Hermétique Tourer
baltic-bicompax-001,Baltic,Bicompax-001,750,https://www.baltic-watches.com/en/55-bicompax,Bicompax 001 chronograph
lorier-hyperion-iii,Lorier,Hyperion-III,625,https://lorierwatches.com/products/hyperion,Hyperion Series III GMT
