catalog_watch_id,reference,old_model,new_model,watchbase_family,source
sinn-1-010-010,"1,010,010",Diving Watches,U1,diving-watches,watchbase-family-page-2026-05-21
sinn-1-010-020,"1,010,020",Diving Watches,U1 S,diving-watches,watchbase-family-page-2026-05-21
sinn-1-010-023,"1,010,023",Diving Watches,U1 S E,diving-watches,watchbase-family-page-2026-05-21
sinn-1-010-040,"1,010,040",Diving Watches,U1 SDR,diving-watches,watchbase-family-page-2026-05-21
sinn-1-010-111,"1,010,111",Diving Watches,U1 W,diving-watches,watchbase-family-page-2026-05-21
sinn-1-011-010,"1,011,010",Diving Watches,U1000 EZM 6,diving-watches,watchbase-family-page-2026-05-21
sinn-1-011-020,"1,011,020",Diving Watches,U1000 S EZM 6,diving-watches,watchbase-family-page-2026-05-21
sinn-1-011-021,"1,011,021",Diving Watches,JAGDUHR 3. Edition,diving-watches,watchbase-family-page-2026-05-21
sinn-1-011-030,"1,011,030",Diving Watches,U1000 SDR EZM 6,diving-watches,watchbase-family-page-2026-05-21
sinn-1-012-010,"1,012,010",Diving Watches,U200 EZM 8,diving-watches,watchbase-family-page-2026-05-21
sinn-1-012-030,"1,012,030",Diving Watches,U200 EZM 8 SDR,diving-watches,watchbase-family-page-2026-05-21
sinn-1-014-010,"1,014,010",Diving Watches,T1 EZM 14,diving-watches,watchbase-family-page-2026-05-21
sinn-1-014-011,"1,014,011",Diving Watches,T1 EZM 14 Blue,diving-watches,watchbase-family-page-2026-05-21
sinn-1-015-010,"1,015,010",Diving Watches,T2 EZM 15,diving-watches,watchbase-family-page-2026-05-21
sinn-1-015-011,"1,015,011",Diving Watches,T2 EZM 15 Blue,diving-watches,watchbase-family-page-2026-05-21
sinn-1-020-010,"1,020,010",Diving Watches,U2,diving-watches,watchbase-family-page-2026-05-21
sinn-1-020-020,"1,020,020",Diving Watches,U2 S,diving-watches,watchbase-family-page-2026-05-21
sinn-1-020-040,"1,020,040",Diving Watches,U2 SDR,diving-watches,watchbase-family-page-2026-05-21
sinn-1-030-601,"1,030,601",Instrument Chronographs,103 A Sa B,instrument-chronographs,watchbase-family-page-2026-05-21
sinn-1-030-621,"1,030,621",Instrument Chronographs,103 St Sa E,instrument-chronographs,watchbase-family-page-2026-05-21
sinn-1-030-791,"1,030,791",Instrument Chronographs,103 Ti UTC TESTAF,instrument-chronographs,watchbase-family-page-2026-05-21
sinn-1-030-793,"1,030,793",Instrument Chronographs,103 Ti IFR,instrument-chronographs,watchbase-family-page-2026-05-21
sinn-1-736-011,"1,736,011",Classic Timepieces,Classic Timepieces 1736 St I 4N,classic-timepieces,watchbase-family-page-2026-05-21
sinn-10-100-101,"10,100,101",Diving Watches,U1 Camouflage,diving-watches,watchbase-family-page-2026-05-21
sinn-10-111-719,"10,111,719",Diving Watches,U1000.S Mother Earth,diving-watches,watchbase-family-page-2026-05-21
sinn-101-017-286,"101,017,286",Diving Watches,U1.SE Mother Earth,diving-watches,watchbase-family-page-2026-05-21
sinn-103-061,"103,061",Instrument Chronographs,103 St Sa,instrument-chronographs,watchbase-family-page-2026-05-21
sinn-103-078,"103,078",Instrument Chronographs,103 Ti DIAPAL,instrument-chronographs,watchbase-family-page-2026-05-21
sinn-103-079,"103,079",Instrument Chronographs,103 Ti TESTAF,instrument-chronographs,watchbase-family-page-2026-05-21
sinn-103classic,103Classic,Instrument Chronographs,103 Classic,instrument-chronographs,watchbase-family-page-2026-05-21
sinn-103stsaarutc,103StSaArUTC,Instrument Chronographs,103 St Sa Ar UTC,instrument-chronographs,watchbase-family-page-2026-05-21
sinn-103stsawanted,103StSawanted,Instrument Chronographs,103 St Sa Wanted,instrument-chronographs,watchbase-family-page-2026-05-21
sinn-103tiarutc,103TiArUTC,Instrument Chronographs,103 Ti Ar UTC,instrument-chronographs,watchbase-family-page-2026-05-21
sinn-104-011,"104,011",Instrument Watches,Pilot Watch 104 St Sa A,instrument-watches,watchbase-family-page-2026-05-21
sinn-112-010,"112,010",Instrument Watches,Pilot&#039;s Watch EZM 12,instrument-watches,watchbase-family-page-2026-05-21
sinn-140-020,"140,020",Instrument Chronographs,Space Chronograph 140 St,instrument-chronographs,watchbase-family-page-2026-05-21
sinn-144-068,"144,068",Instrument Chronographs,144 St Diapal,instrument-chronographs,watchbase-family-page-2026-05-21
sinn-212-040,"212,040",Diving Watches,U212,diving-watches,watchbase-family-page-2026-05-21
sinn-212-050,"212,050",Instrument Watches,Pilot Watch 212 KSK,instrument-watches,watchbase-family-page-2026-05-21
sinn-240-010,"240,010",Instrument Watches,Series 240 St,instrument-watches,watchbase-family-page-2026-05-21
sinn-240-011,"240,011",Instrument Watches,Series 240 C St GZ,instrument-watches,watchbase-family-page-2026-05-21
sinn-240-021,"240,021",Instrument Watches,Series 240 C,instrument-watches,watchbase-family-page-2026-05-21
sinn-243-010,"243,010",Ladies Watches,Ladies Watches 243 Ti S,ladies-watches,watchbase-family-page-2026-05-21
sinn-243-011,"243,011",Ladies Watches,Ladies Watches 243 Ti Mother-of-pearl W,ladies-watches,watchbase-family-page-2026-05-21
sinn-243-020,"243,020",Ladies Watches,Ladies Watches 243 Ti Z S,ladies-watches,watchbase-family-page-2026-05-21
sinn-243-051,"243,051",Ladies Watches,Ladies Watches 243 TW66 WG Mother-of-pearl W,ladies-watches,watchbase-family-page-2026-05-21
sinn-243-053,"243,053",Ladies Watches,Ladies Watches 243 TW66 WG M,ladies-watches,watchbase-family-page-2026-05-21
sinn-243-054,"243,054",Ladies Watches,Ladies Watches 243 TW66 WG A,ladies-watches,watchbase-family-page-2026-05-21
sinn-3-560-721,"3,560,721",Instrument Chronographs,356 Sa Pilot III,instrument-chronographs,watchbase-family-page-2026-05-21
sinn-356-070,"356,070",Instrument Chronographs,356 Sa Pilot,instrument-chronographs,watchbase-family-page-2026-05-21
sinn-358-060,"358,060",Instrument Chronographs,358 Sa PILOT,instrument-chronographs,watchbase-family-page-2026-05-21
sinn-358-061,"358,061",Instrument Chronographs,358 Diapal,instrument-chronographs,watchbase-family-page-2026-05-21
